session,cycle,slot,label,arm,inner,status,launches,wall_s,launches_per_s,power_w,power_sd_w,samples,attempts,sample_failures,pre_idle_w,pre_idle_samples,delta_w,aiclk_mhz,temp_c,sysfs_aiclk_mean,sysfs_aiclk_min,sysfs_aiclk_max,sysfs_aiclk_drift_pct,sysfs_arcclk_mean,therm_trip_delta,clock_samples,power_bracket_w,bracket_lag_s,bracket_samples,tt_smi_version,note
20260817T192711,3,4,mm-4096,mm,4096,ok,54741,48.000498,1140.426,32.0000,0.4140,71,71,0,16.5000,4,15.5000,1000.0,42.5,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,5,sfpu-4096,sfpu,4096,ok,34008,48.000888,708.487,31.0423,0.2026,71,71,0,16.5000,4,14.5423,1000.0,42.4,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,6,rv-800000,rv,800000,ok,6792,48.001940,141.494,31.0141,0.2065,71,71,0,17.0000,2,14.0141,1000.0,42.3,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,7,noc-16384,noc,16384,ok,5692,48.001272,118.580,31.0000,0.0000,72,72,0,17.0000,2,14.0000,1000.0,42.3,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,8,mm-16384,mm,16384,ok,27962,48.000141,582.540,33.0141,0.2065,71,71,0,17.0000,2,16.0141,1000.0,42.9,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,9,sfpu-16384,sfpu,16384,ok,12536,48.002366,261.154,31.1528,0.3623,72,72,0,17.0000,2,14.1528,1000.0,42.5,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,10,noc-4096__control,noc,4096,ok,18937,48.002456,394.501,31.0139,0.1179,72,72,0,17.0000,2,14.0139,1000.0,42.5,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,0,baseline,baseline,0,ok,0,40,0,17.0000,0.0000,55,55,0,17.0000,2,0.0000,500.0,40.7,500.0,500.0,500.0,0.000,540.0,,96,,,0,6.2.1,
20260817T192711,4,1,idle-0,idle,0,ok,86128,48.000004,1794.333,30.3056,0.4639,72,72,0,17.0000,2,13.3056,1000.0,41.5,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,2,rv-200000,rv,200000,ok,21908,48.001665,456.401,31.0141,0.3159,71,71,0,17.0000,2,14.0141,1000.0,42.2,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,3,noc-4096,noc,4096,ok,18928,48.000808,394.327,31.0000,0.0000,72,72,0,17.0000,2,14.0000,1000.0,42.5,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,4,mm-4096,mm,4096,ok,54735,48.000112,1140.310,32.1690,0.3774,71,71,0,17.0000,2,15.1690,1000.0,42.8,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,5,sfpu-4096,sfpu,4096,ok,34091,48.001077,710.213,31.2917,0.4577,72,72,0,17.0000,2,14.2917,1000.0,42.8,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,6,rv-800000,rv,800000,ok,6795,48.006265,141.544,31.0000,0.0000,72,72,0,17.0000,2,14.0000,1000.0,42.6,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,7,noc-16384,noc,16384,ok,5692,48.005495,118.570,31.1127,0.3184,71,71,0,17.0000,2,14.1127,1000.0,42.7,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,8,mm-16384,mm,16384,ok,28017,48.001574,583.668,33.1268,0.3351,71,71,0,17.0000,2,16.1268,1000.0,43.1,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,9,sfpu-16384,sfpu,16384,ok,12545,48.003614,261.334,31.4930,0.5035,71,71,0,18.0000,2,13.4930,1000.0,42.9,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,4,10,noc-4096__control,noc,4096,ok,18923,48.000959,394.221,31.2639,0.5565,72,72,0,17.0000,2,14.2639,1000.0,42.7,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
