# nocreadbench arch=wormhole grid=8x8 num_tx=64 repeats=3
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end
size,1,0,0,0,1,1,1,25,18,7,64,64,0,0,2993,46.766,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,1,1,0,0,1,1,1,25,18,7,64,128,0,0,3000,46.875,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,1,2,0,0,1,1,1,25,18,7,64,256,0,0,3000,46.875,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,1,3,0,0,1,1,1,25,18,7,64,512,0,0,3011,47.047,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,1,4,0,0,1,1,1,25,18,7,64,1024,0,0,3029,47.328,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,1,5,0,0,1,1,1,25,18,7,64,2048,0,0,4510,70.469,15,15,64,0xFFFFFFFF,0xFFFFFFFF,0,15,10,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,1,6,0,0,1,1,1,25,18,7,64,4096,0,0,8713,136.141,39,39,64,0xFFFFFFFF,0xFFFFFFFF,0,39,36,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,7,0,0,1,1,1,19,18,1,64,64,0,0,2996,46.812,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,8,0,0,1,1,1,20,18,2,64,64,0,0,2993,46.766,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,9,0,0,1,1,1,21,18,3,64,64,0,0,2993,46.766,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
