session,cycle,slot,label,arm,inner,status,start_s,end_s,launches,wall_s,launches_per_s,pre_file,pow_file,clk_file,post_file,tt_smi_version
20260813T134114,3,6,rv-800000,rv,800000,ok,1786626911.590345,1786626961.931881,8628,48.000665,179.748,raw/c3-s6-rv-800000.pre.csv,raw/c3-s6-rv-800000.pow.csv,raw/c3-s6-rv-800000.clk.csv,,6.2.0
20260813T134114,3,7,noc-16384,noc,16384,ok,1786626964.839367,1786627015.245952,6415,48.001389,133.642,raw/c3-s7-noc-16384.pre.csv,raw/c3-s7-noc-16384.pow.csv,raw/c3-s7-noc-16384.clk.csv,,6.2.0
20260813T134114,3,8,mm-16384,mm,16384,ok,1786627018.420568,1786627068.867550,21435,48.001106,446.552,raw/c3-s8-mm-16384.pre.csv,raw/c3-s8-mm-16384.pow.csv,raw/c3-s8-mm-16384.clk.csv,,6.2.0
20260813T134114,3,9,sfpu-16384,sfpu,16384,ok,1786627071.273631,1786627121.748131,12566,48.001928,261.781,raw/c3-s9-sfpu-16384.pre.csv,raw/c3-s9-sfpu-16384.pow.csv,raw/c3-s9-sfpu-16384.clk.csv,,6.2.0
20260813T134114,3,10,noc-4096__control,noc,4096,ok,1786627124.329057,1786627174.865735,16305,48.001066,339.680,raw/c3-s10-noc-4096__control.pre.csv,raw/c3-s10-noc-4096__control.pow.csv,raw/c3-s10-noc-4096__control.clk.csv,,6.2.0
20260813T134114,4,0,baseline,baseline,0,ok,1786627177.457894,1786627217.498393,0,40,0,raw/c4-s0-baseline.pre.csv,raw/c4-s0-baseline.pow.csv,raw/c4-s0-baseline.clk.csv,,6.2.0
20260813T134114,4,1,idle-0,idle,0,ok,1786627220.071193,1786627271.043221,33361,48.001546,694.998,raw/c4-s1-idle-0.pre.csv,raw/c4-s1-idle-0.pow.csv,raw/c4-s1-idle-0.clk.csv,,6.2.0
20260813T134114,4,2,rv-200000,rv,200000,ok,1786627273.619230,1786627323.661216,19641,48.001964,409.171,raw/c4-s2-rv-200000.pre.csv,raw/c4-s2-rv-200000.pow.csv,raw/c4-s2-rv-200000.clk.csv,,6.2.0
20260813T134114,4,3,noc-4096,noc,4096,ok,1786627325.952777,1786627376.386606,16377,48.000447,341.184,raw/c4-s3-noc-4096.pre.csv,raw/c4-s3-noc-4096.pow.csv,raw/c4-s3-noc-4096.clk.csv,,6.2.0
20260813T134114,4,4,mm-4096,mm,4096,ok,1786627378.800821,1786627429.292007,29520,48.000446,614.994,raw/c4-s4-mm-4096.pre.csv,raw/c4-s4-mm-4096.pow.csv,raw/c4-s4-mm-4096.clk.csv,,6.2.0
20260813T134114,4,5,sfpu-4096,sfpu,4096,ok,1786627432.635987,1786627483.081544,23832,48.000687,496.493,raw/c4-s5-sfpu-4096.pre.csv,raw/c4-s5-sfpu-4096.pow.csv,raw/c4-s5-sfpu-4096.clk.csv,,6.2.0
20260813T134114,4,6,rv-800000,rv,800000,ok,1786627486.237842,1786627536.702821,8581,48.004294,178.755,raw/c4-s6-rv-800000.pre.csv,raw/c4-s6-rv-800000.pow.csv,raw/c4-s6-rv-800000.clk.csv,,6.2.0
