# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy
dist,2,24,0,0,1,2,1,1,9,7,64,64,0,0,3189,49.828,71,71,64,0x00000000,0x00000000
dist,2,25,0,0,1,2,1,1,10,8,64,64,0,0,3189,49.828,71,71,64,0x00000000,0x00000000
dist,2,26,0,0,1,2,1,1,11,9,64,64,0,0,3189,49.828,71,71,64,0x00000000,0x00000000
srcfan,2,27,0,0,1,2,1,2,2,1,64,64,0,0,3238,50.594,72,72,64,0x00000000,0x00000000
srcfan,2,28,0,0,1,2,2,2,2,1,64,64,0,0,3241,50.641,72,72,64,0x00000000,0x00000000
srcfan,2,29,0,0,1,2,4,2,2,1,64,64,0,0,3275,51.172,72,72,64,0x00000000,0x00000000
srcfan,2,30,0,0,1,2,8,2,2,1,64,64,0,0,3261,50.953,72,72,64,0x00000000,0x00000000
dstspread,2,31,0,0,1,2,1,14,2,13,64,64,0,0,3260,50.938,72,72,64,0x00000000,0x00000000
dstspread,2,32,0,0,1,2,1,14,2,13,64,64,64,0,3238,50.594,72,72,64,0x00000000,0x00000000
dstspread,2,33,0,0,1,2,1,14,2,13,64,64,128,0,3237,50.578,72,72,64,0x00000000,0x00000000
dstspread,2,34,0,0,1,2,1,14,2,13,64,64,512,0,3237,50.578,72,72,64,0x00000000,0x00000000
srcspread,2,35,0,0,1,2,1,14,2,13,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
srcspread,2,36,0,0,1,2,1,14,2,13,64,64,0,64,3237,50.578,72,72,64,0x00000000,0x00000000
srcspread,2,37,0,0,1,2,1,14,2,13,64,64,0,128,3237,50.578,72,72,64,0x00000000,0x00000000
srcspread,2,38,0,0,1,2,1,14,2,13,64,64,0,512,3237,50.578,72,72,64,0x00000000,0x00000000
burst,2,39,0,0,1,2,1,14,2,13,4,64,0,0,418,104.500,72,72,4,0x00000000,0x00000000
burst,2,40,0,0,1,2,1,14,2,13,16,64,0,0,981,61.312,72,72,16,0x00000000,0x00000000
burst,2,41,0,0,1,2,1,14,2,13,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
burst,2,42,0,0,1,2,1,14,2,13,128,64,0,0,6247,48.805,72,72,128,0x00000000,0x00000000
