# nocreadbench arch=wormhole grid=8x8 num_tx=64 repeats=3 mode=stateless sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
size,2,2,0,0,1,1,1,25,18,7,64,256,0,0,3079,48.109,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
size,2,3,0,0,1,1,1,25,18,7,64,512,0,0,3086,48.219,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
size,2,4,0,0,1,1,1,25,18,7,64,1024,0,0,3102,48.469,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
size,2,5,0,0,1,1,1,25,18,7,64,2048,0,0,4524,70.688,14,14,64,0xFFFFFFFF,0xFFFFFFFF,0,14,10,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
size,2,6,0,0,1,1,1,25,18,7,64,4096,0,0,8738,136.531,39,39,64,0xFFFFFFFF,0xFFFFFFFF,0,39,37,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dist,2,7,0,0,1,1,1,19,18,1,64,64,0,0,3068,47.938,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1312,0x5A5A1312,0x5A5A1313
dist,2,8,0,0,1,1,1,20,18,2,64,64,0,0,3069,47.953,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1412,0x5A5A1412,0x5A5A1313
dist,2,9,0,0,1,1,1,21,18,3,64,64,0,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1512,0x5A5A1512,0x5A5A1313
dist,2,10,0,0,1,1,1,22,18,4,64,64,0,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1612,0x5A5A1612,0x5A5A1313
dist,2,11,0,0,1,1,1,23,18,5,64,64,0,0,3069,47.953,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1712,0x5A5A1712,0x5A5A1313
dist,2,12,0,0,1,1,1,24,18,6,64,64,0,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1812,0x5A5A1812,0x5A5A1313
