run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
37,shared,64B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,7,0,1,2535,847751374,847753909,21,15,2,0
37,shared,64B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,64,10,29,7,0,1,2559,847751521,847754080,1173680,14,2,0
38,shared,512B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,0,0,1,2542,854379943,854382485,21,15,2,0
38,shared,512B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,512,10,29,0,0,1,2555,854380004,854382559,1177577,6,2,0
39,shared,512B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,1,0,1,2542,860980811,860983353,21,15,2,0
39,shared,512B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,512,10,29,1,0,1,2553,860980873,860983426,1179535,5,2,0
40,shared,512B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,2,0,1,2543,867659150,867661693,21,15,2,0
40,shared,512B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,512,10,29,2,0,1,2555,867659210,867661765,1173170,4,2,0
41,shared,512B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,3,0,1,2543,874589470,874592013,21,15,2,0
41,shared,512B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,512,10,29,3,0,1,2554,874589516,874592070,1175518,3,2,0
42,shared,512B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,4,0,1,2551,881370761,881373312,21,15,2,0
42,shared,512B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,512,10,29,4,0,1,2553,3715520470,3715523023,1186914,11,2,0
43,shared,512B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,5,0,1,2542,888126275,888128817,21,15,2,0
43,shared,512B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,512,10,29,5,0,1,2554,888126398,888128952,1179455,12,2,0
44,shared,512B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,6,0,1,2542,894876748,894879290,21,15,2,0
44,shared,512B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,512,10,29,6,0,1,2555,894876883,894879438,1176893,13,2,0
45,shared,512B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,7,0,1,2543,901622898,901625441,21,15,2,0
45,shared,512B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,512,10,29,7,0,1,2555,901623048,901625603,1173692,14,2,0
46,shared,2048B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,0,0,1,2566,908315163,908317729,21,15,2,0
46,shared,2048B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,2048,10,29,0,0,1,2578,908315224,908317802,1176201,6,2,0
47,shared,2048B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,1,0,1,4435,915269958,915274393,21,15,2,0
47,shared,2048B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,2048,10,29,1,0,1,4613,915270016,915274629,1177484,5,2,0
48,shared,2048B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,2,0,1,4219,921941449,921945668,23,15,2,0
48,shared,2048B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,2048,10,29,2,0,1,4619,921941500,921946119,1180117,4,2,0
49,shared,2048B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,3,0,1,4281,928741689,928745970,21,15,2,0
49,shared,2048B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,2048,10,29,3,0,1,4610,928741739,928746349,1176763,3,2,0
50,shared,2048B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,4,0,1,4470,935439620,935444090,21,15,2,0
50,shared,2048B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,2048,10,29,4,0,1,4482,3769589328,3769593810,1171518,11,2,0
51,shared,2048B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,5,0,1,4470,942239693,942244163,21,15,2,0
51,shared,2048B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,2048,10,29,5,0,1,4475,942239819,942244294,1177233,12,2,0
52,shared,2048B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,6,0,1,4470,948979601,948984071,21,15,2,0
52,shared,2048B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,2048,10,29,6,0,1,4481,948979730,948984211,1175034,13,2,0
53,shared,2048B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,7,0,1,4479,955647783,955652262,21,15,2,0
53,shared,2048B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,2048,10,29,7,0,1,4492,955647929,955652421,1170949,14,2,0
54,shared,8192B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,0,0,1,8799,962442415,962451214,23,15,2,0
54,shared,8192B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,8192,10,29,0,0,1,8834,962442476,962451310,1180237,6,2,0
55,shared,8192B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,1,0,1,16686,969275498,969292184,21,15,2,0
55,shared,8192B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,8192,10,29,1,0,1,16905,969275555,969292460,1171144,5,2,0
56,shared,8192B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,2,0,1,16775,975926055,975942830,23,15,2,0
56,shared,8192B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,8192,10,29,2,0,1,16906,975926111,975943017,1173023,4,2,0
57,shared,8192B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,3,0,1,16783,982599358,982616141,21,15,2,0
57,shared,8192B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,8192,10,29,3,0,1,16907,982599403,982616310,1178762,3,2,0
58,shared,8192B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,4,0,1,16934,989411320,989428254,21,15,2,0
58,shared,8192B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,8192,10,29,4,0,1,17026,3823561032,3823578058,1179870,11,2,0
59,shared,8192B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,5,0,1,16886,996098131,996115017,21,15,2,0
59,shared,8192B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,8192,10,29,5,0,1,16993,996098251,996115244,1176529,12,2,0
60,shared,8192B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,6,0,1,16950,1002915569,1002932519,21,15,2,0
60,shared,8192B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,8192,10,29,6,0,1,17049,1002915705,1002932754,1176093,13,2,0
61,shared,8192B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,7,0,1,16958,1009610083,1009627041,21,15,2,0
61,shared,8192B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,8192,10,29,7,0,1,17058,1009610232,1009627290,1178537,14,2,0
62,shared,16384B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,0,0,1,17231,1016316763,1016333994,21,15,2,0
62,shared,16384B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,16384,10,29,0,0,1,17201,1016316830,1016334031,1175953,6,2,0
63,shared,16384B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,1,0,1,33190,1023073309,1023106499,21,15,2,0
63,shared,16384B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,16384,10,29,1,0,1,33289,1023073374,1023106663,1175167,5,2,0
64,shared,16384B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,2,0,1,33295,1029958611,1029991906,21,15,2,0
64,shared,16384B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,16384,10,29,2,0,1,33289,1029958671,1029991960,1173793,4,2,0
65,shared,16384B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,3,0,1,33295,1036657154,1036690449,21,15,2,0
65,shared,16384B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,16384,10,29,3,0,1,33291,1036657205,1036690496,1186129,3,2,0
66,shared,16384B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,4,0,1,33686,1043356372,1043390058,21,15,2,0
66,shared,16384B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,16384,10,29,4,0,1,33787,3877506081,3877539868,1174819,11,2,0
67,shared,16384B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,5,0,1,33686,1050121921,1050155607,21,15,2,0
67,shared,16384B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,16384,10,29,5,0,1,33785,1050122044,1050155829,1180040,12,2,0
68,shared,16384B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,6,0,1,33711,1056826421,1056860132,21,15,2,0
68,shared,16384B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,16384,10,29,6,0,1,33821,1056826550,1056860371,1174424,13,2,0
69,shared,16384B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,7,0,1,33726,1063700546,1063734272,21,15,2,0
69,shared,16384B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,16384,10,29,7,0,1,33834,1063700690,1063734524,1177325,14,2,0
