# nocreadbench -- 2026-08-09 Blackhole card session, nocread probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `nocread`).
# Retires the initiator credit-limit term: in-flight is 2-3 at every burst
# length, reaches 13 only at one transaction size, and cycles_per_tx is flat
# to 1.5 % across hops 1-13. CMD_BUF_AVAIL reads 0x0 at rest AND in-loop, so
# the command-buffer depth stays UNKNOWN -- do not quote zero as a depth.
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end
srcspread,1,38,0,0,1,2,1,14,2,13,64,64,0,512,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
burst,1,39,0,0,1,2,1,14,2,13,4,64,0,0,420,105.000,70,70,4,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
burst,1,40,0,0,1,2,1,14,2,13,16,64,0,0,984,61.500,70,70,16,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
burst,1,41,0,0,1,2,1,14,2,13,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
burst,1,42,0,0,1,2,1,14,2,13,128,64,0,0,6248,48.812,70,70,128,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
size,2,0,0,0,1,2,1,14,2,13,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
size,2,1,0,0,1,2,1,14,2,13,64,128,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
size,2,2,0,0,1,2,1,14,2,13,64,256,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
size,2,3,0,0,1,2,1,14,2,13,64,512,0,0,3241,50.641,71,71,64,0x00000000,0x00000000,68,3,3,0,0,0x00000000,0x00000000,0x00000000
size,2,4,0,0,1,2,1,14,2,13,64,1024,0,0,3249,50.766,71,71,64,0x00000000,0x00000000,68,3,3,0,0,0x00000000,0x00000000,0x00000000
size,2,5,0,0,1,2,1,14,2,13,64,2048,0,0,3264,51.000,71,71,64,0x00000000,0x00000000,68,3,3,0,0,0x00000000,0x00000000,0x00000000
size,2,6,0,0,1,2,1,14,2,13,64,4096,0,0,4552,71.125,76,76,64,0x00000000,0x00000000,68,8,13,0,0,0x00000000,0x00000000,0x00000000
dist,2,7,0,0,1,2,1,2,2,1,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,8,0,0,1,2,1,3,2,2,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,9,0,0,1,2,1,4,2,3,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,10,0,0,1,2,1,5,2,4,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,11,0,0,1,2,1,6,2,5,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,12,0,0,1,2,1,7,2,6,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,13,0,0,1,2,1,10,2,9,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,14,0,0,1,2,1,11,2,10,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,15,0,0,1,2,1,12,2,11,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,16,0,0,1,2,1,13,2,12,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,17,0,0,1,2,1,14,2,13,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,2,18,0,0,1,2,1,1,3,1,64,64,0,0,3193,49.891,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
