# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3 mode=stateless sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
dist,0,25,0,0,1,2,1,1,10,8,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A010A,0x5A5A010A,0x5A5A0203
dist,0,26,0,0,1,2,1,1,11,9,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A010B,0x5A5A010B,0x5A5A0203
srcfan,0,27,0,0,1,2,1,2,2,1,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203
srcfan,0,28,0,0,1,2,2,2,2,1,64,64,0,0,3274,51.156,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203
srcfan,0,29,0,0,1,2,4,2,2,1,64,64,0,0,3272,51.125,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203
srcfan,0,30,0,0,1,2,8,2,2,1,64,64,0,0,3276,51.188,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203
dstspread,0,31,0,0,1,2,1,14,2,13,64,64,0,0,3252,50.812,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
dstspread,0,32,0,0,1,2,1,14,2,13,64,64,64,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
dstspread,0,33,0,0,1,2,1,14,2,13,64,64,128,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
dstspread,0,34,0,0,1,2,1,14,2,13,64,64,512,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
