# nocreadbench arch=wormhole grid=8x9 num_tx=4 repeats=1 mode=stateless sim=1 dram=1 noc_events=0 congruence=32
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# src_kind/src_base/dst_base/landed are what the KERNEL ran, not what it
# was asked to: landed is the first word the TIMED burst put at dst_base, and
# a row is a DRAM read iff landed == sig_src with sig_src in the 0xD4A5....
# half of the signature space. landed_ok is -1 where the landing address is
# walked or the sources cycled, meaning NOT LOOKED AT rather than not verified
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness,src_kind,src_base,dst_base,landed,landed_ok
dramsize,0,26,0,0,1,1,1,0,11,19,64,512,0,0,3182,49.719,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,27,0,0,1,1,1,0,11,19,128,512,0,0,5998,46.859,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,28,0,0,1,1,1,0,11,19,4,1024,0,0,566,141.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,29,0,0,1,1,1,0,11,19,16,1024,0,0,1094,68.375,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,30,0,0,1,1,1,0,11,19,64,1024,0,0,3206,50.094,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,31,0,0,1,1,1,0,11,19,128,1024,0,0,6022,47.047,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,32,0,0,1,1,1,0,11,19,4,4096,0,0,1070,267.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,33,0,0,1,1,1,0,11,19,16,4096,0,0,3126,195.375,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,34,0,0,1,1,1,0,11,19,64,4096,0,0,11334,177.094,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,35,0,0,1,1,1,0,11,19,128,4096,0,0,22278,174.047,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
