# nocreadbench arch=blackhole grid=13x10 num_tx=8 repeats=1 mode=stateful sim=1
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
dist,0,22,0,0,1,2,1,1,6,4,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0106,0x5A5A0203
dist,0,23,0,0,1,2,1,1,7,5,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0107,0x5A5A0203
dist,0,24,0,0,1,2,1,1,8,6,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0108,0x5A5A0203
dist,0,25,0,0,1,2,1,1,9,7,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0109,0x5A5A0203
dist,0,26,0,0,1,2,1,1,10,8,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A010A,0x5A5A0203
dist,0,27,0,0,1,2,1,1,11,9,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A010B,0x5A5A0203
srcfan,0,28,0,0,1,2,1,2,2,1,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0202,0x5A5A0203
dstspread,0,29,0,0,1,2,1,15,2,14,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
dstspread,0,30,0,0,1,2,1,15,2,14,8,64,64,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
dstspread,0,31,0,0,1,2,1,15,2,14,8,64,128,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
dstspread,0,32,0,0,1,2,1,15,2,14,8,64,512,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
srcspread,0,33,0,0,1,2,1,15,2,14,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
srcspread,0,34,0,0,1,2,1,15,2,14,8,64,0,64,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
srcspread,0,35,0,0,1,2,1,15,2,14,8,64,0,128,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
srcspread,0,36,0,0,1,2,1,15,2,14,8,64,0,512,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
burst,0,37,0,0,1,2,1,15,2,14,4,64,0,0,115,28.750,0,0,4,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
burst,0,38,0,0,1,2,1,15,2,14,16,64,0,0,391,24.438,0,0,16,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
burst,0,39,0,0,1,2,1,15,2,14,64,64,0,0,1495,23.359,0,0,64,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
burst,0,40,0,0,1,2,1,15,2,14,128,64,0,0,2967,23.180,0,0,128,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
